state_abbr,date_range_start,Nunits_Benchmark,SumDailyVisits_Benchmark,MaxDailyVisitsPerUnit_Benchmark,MinDailyVisitsPerUnit_Benchmark,MedDailyVisitsPerUnit_Benchmark,Nunits_Focal,SumDailyVisits_Focal,MaxDailyVisitsPerUnit_Focal,MinDailyVisitsPerUnit_Focal,MedDailyVisitsPerUnit_Focal,Post03132020,BlueState,Blue_Post,ln_SumDailyVisits,state,total_population,male,female,median_age,age_over18,age_over21,age_over62,age_over65,single_race,two_or_more_race,white,black,indian_alaska,asian,hawaiian_pacific,other_races,hispanic_latino,housing_units,citizen,citizen_male,citizen_female,Y,date,day_of_week,Monday,Monday
AL,2018-07-02 00:00:00+00:00,4.0,551.0,54.0,3.0,15.5,2.0,508.0,58.0,21.0,32.5,0.0,0.0,0.0,6.2324480165505225,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,-0.08110002972657249,2018-07-02 00:00:00+00:00,Monday,True,True
AL,2018-07-09 00:00:00+00:00,4.0,574.0,42.0,1.0,17.0,2.0,643.0,81.0,28.0,39.5,0.0,0.0,0.0,6.467698726104354,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.11332868530700324,2018-07-09 00:00:00+00:00,Monday,True,True
AL,2018-07-16 00:00:00+00:00,4.0,591.0,63.0,6.0,18.5,2.0,666.0,69.0,28.0,45.5,0.0,0.0,0.0,6.502790045915623,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.11928341103161788,2018-07-16 00:00:00+00:00,Monday,True,True
AL,2018-07-23 00:00:00+00:00,4.0,590.0,43.0,4.0,19.5,2.0,660.0,64.0,24.0,53.5,0.0,0.0,0.0,6.493753839851686,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.11193782244558736,2018-07-23 00:00:00+00:00,Monday,True,True
AL,2018-07-30 00:00:00+00:00,4.0,658.0,57.0,4.0,21.0,2.0,687.0,88.0,25.0,40.0,0.0,0.0,0.0,6.533788837933344,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.043065303430836366,2018-07-30 00:00:00+00:00,Monday,True,True
AL,2018-08-06 00:00:00+00:00,4.0,482.0,42.0,5.0,15.5,2.0,704.0,72.0,24.0,48.0,0.0,0.0,0.0,6.558197802812269,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.3781811491596967,2018-08-06 00:00:00+00:00,Monday,True,True
AL,2018-08-13 00:00:00+00:00,4.0,542.0,33.0,3.0,19.5,2.0,581.0,67.0,17.0,39.5,0.0,0.0,0.0,6.366470447731438,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.06936112779750303,2018-08-13 00:00:00+00:00,Monday,True,True
AL,2018-08-20 00:00:00+00:00,4.0,503.0,44.0,1.0,16.0,2.0,587.0,85.0,22.0,40.5,0.0,0.0,0.0,6.376726947898627,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.15415067982725805,2018-08-20 00:00:00+00:00,Monday,True,True
AL,2018-08-27 00:00:00+00:00,4.0,466.0,39.0,2.0,15.0,2.0,580.0,61.0,22.0,43.5,0.0,0.0,0.0,6.364750756851911,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.21842149918301335,2018-08-27 00:00:00+00:00,Monday,True,True
AL,2018-09-03 00:00:00+00:00,4.0,730.0,78.0,5.0,19.0,2.0,541.0,68.0,22.0,34.0,0.0,0.0,0.0,6.295266001439646,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,-0.2991474583101317,2018-09-03 00:00:00+00:00,Monday,True,True
